id,name,population
01001,"Autauga County, Alabama",55533
01003,"Baldwin County, Alabama",217855
01005,"Barbour County, Alabama",24872
01007,"Bibb County, Alabama",22367
01009,"Blount County, Alabama",57771
01011,"Bullock County, Alabama",10174
01013,"Butler County, Alabama",19631
01015,"Calhoun County, Alabama",114331
01017,"Chambers County, Alabama",33600
01019,"Cherokee County, Alabama",26014
01021,"Chilton County, Alabama",44163
01023,"Choctaw County, Alabama",12833
01025,"Clarke County, Alabama",23918
01027,"Clay County, Alabama",13294
01029,"Cleburne County, Alabama",15010
01031,"Coffee County, Alabama",51950
01033,"Colbert County, Alabama",55004
01035,"Conecuh County, Alabama",12292
01037,"Coosa County, Alabama",10643
01039,"Covington County, Alabama",36953
01041,"Crenshaw County, Alabama",13825
01043,"Cullman County, Alabama",83418
01045,"Dale County, Alabama",49143
01047,"Dallas County, Alabama",38294
01049,"DeKalb County, Alabama",71407
01051,"Elmore County, Alabama",81011
01053,"Escambia County, Alabama",36524
01055,"Etowah County, Alabama",102611
01057,"Fayette County, Alabama",16445
01059,"Franklin County, Alabama",31298
01061,"Geneva County, Alabama",26306
01063,"Greene County, Alabama",8209
01065,"Hale County, Alabama",14749
01067,"Henry County, Alabama",17173
01069,"Houston County, Alabama",104770
01071,"Jackson County, Alabama",51621
01073,"Jefferson County, Alabama",659429
01075,"Lamar County, Alabama",13882
01077,"Lauderdale County, Alabama",92604
01079,"Lawrence County, Alabama",32941
01081,"Lee County, Alabama",163656
01083,"Limestone County, Alabama",96177
01085,"Lowndes County, Alabama",9974
01087,"Macon County, Alabama",18321
01089,"Madison County, Alabama",367004
01091,"Marengo County, Alabama",19056
01093,"Marion County, Alabama",29750
01095,"Marshall County, Alabama",96170
01097,"Mobile County, Alabama",413908
01099,"Monroe County, Alabama",21062
01101,"Montgomery County, Alabama",226504
01103,"Morgan County, Alabama",119203
01105,"Perry County, Alabama",9070
01107,"Pickens County, Alabama",19980
01109,"Pike County, Alabama",33242
01111,"Randolph County, Alabama",22727
01113,"Russell County, Alabama",57784
01115,"St Clair County, Alabama",88654
01117,"Shelby County, Alabama",215583
01119,"Sumter County, Alabama",12634
01121,"Talladega County, Alabama",80137
01123,"Tallapoosa County, Alabama",40535
01125,"Tuscaloosa County, Alabama",208319
01127,"Walker County, Alabama",63669
01129,"Washington County, Alabama",16402
01131,"Wilcox County, Alabama",10599
01133,"Winston County, Alabama",23693
02013,"Aleutians East Borough, Alaska",3395
02016,"Aleutians West Census Area, Alaska",5640
02020,"Anchorage Municipality, Alaska",290521
02050,"Bethel Census Area, Alaska",18219
02060,"Bristol Bay Borough, Alaska",880
02068,"Denali Borough, Alaska",2032
02070,"Dillingham Census Area, Alaska",4991
02090,"Fairbanks North Star Borough, Alaska",98565
02100,"Haines Borough, Alaska",2488
02105,"Hoonah-Angoon Census Area, Alaska",2155
02110,"Juneau City and Borough, Alaska",32037
02122,"Kenai Peninsula Borough, Alaska",58561
02130,"Ketchikan Gateway Borough, Alaska",13856
02150,"Kodiak Island Borough, Alaska",13250
02158,"Kusilvak Census Area, Alaska",8323
02164,"Lake and Peninsula Borough, Alaska",1596
02170,"Matanuska-Susitna Borough, Alaska",107115
02180,"Nome Census Area, Alaska",10053
02185,"North Slope Borough, Alaska",9850
02188,"Northwest Arctic Borough, Alaska",7694
02195,"Petersburg Borough, Alaska",3244
02198,"Prince of Wales-Hyder Census Area, Alaska",6360
02220,"Sitka City and Borough, Alaska",8554
02230,"Skagway Municipality, Alaska",1169
02240,"Southeast Fairbanks Census Area, Alaska",6937
02261,"Valdez-Cordova Census Area, Alaska",9161
02275,"Wrangell City and Borough, Alaska",2538
02282,"Yakutat City and Borough, Alaska",596
02290,"Yukon-Koyukuk Census Area, Alaska",5359
04001,"Apache County, Arizona",71731
04003,"Cochise County, Arizona",126411
04005,"Coconino County, Arizona",142523
04007,"Gila County, Arizona",53801
04009,"Graham County, Arizona",37995
04011,"Greenlee County, Arizona",9448
04012,"La Paz County, Arizona",21039
04013,"Maricopa County, Arizona",4402403
04015,"Mohave County, Arizona",209292
04017,"Navajo County, Arizona",110242
04019,"Pima County, Arizona",1036554
04021,"Pinal County, Arizona",446806
04023,"Santa Cruz County, Arizona",46395
04025,"Yavapai County, Arizona",231772
04027,"Yuma County, Arizona",211612
05001,"Arkansas County, Arkansas",17726
05003,"Ashley County, Arkansas",20012
05005,"Baxter County, Arkansas",41624
05007,"Benton County, Arkansas",272266
05009,"Boone County, Arkansas",37385
05011,"Bradley County, Arkansas",10838
05013,"Calhoun County, Arkansas",5227
05015,"Carroll County, Arkansas",28097
05017,"Chicot County, Arkansas",10442
05019,"Clark County, Arkansas",22313
05021,"Clay County, Arkansas",14763
05023,"Cleburne County, Arkansas",24994
05025,"Cleveland County, Arkansas",7995
05027,"Columbia County, Arkansas",23586
05029,"Conway County, Arkansas",20825
05031,"Craighead County, Arkansas",108816
05033,"Crawford County, Arkansas",63379
05035,"Crittenden County, Arkansas",48363
05037,"Cross County, Arkansas",16630
05057,"Dallas County, Arkansas",7152
05039,"Desha County, Arkansas",11507
05041,"Drew County, Arkansas",18328
05043,"Faulkner County, Arkansas",125138
05045,"Franklin County, Arkansas",17764
05047,"Fulton County, Arkansas",12308
05049,"Garland County, Arkansas",98966
05051,"Grant County, Arkansas",18180
05053,"Greene County, Arkansas",45339
05055,"Hempstead County, Arkansas",21685
05059,"Hot Spring County, Arkansas",33672
05061,"Howard County, Arkansas",13302
05063,"Independence County, Arkansas",37768
05065,"Izard County, Arkansas",13582
05067,"Jackson County, Arkansas",16753
05069,"Jefferson County, Arkansas",68067
