id,name,income
01001,"Autauga County, AL","$59,338"
01003,"Baldwin County, AL","$57,588"
01005,"Barbour County, AL","$34,382"
01007,"Bibb County, AL","$46,064"
01009,"Blount County, AL","$50,412"
01011,"Bullock County, AL","$29,267"
01013,"Butler County, AL","$37,365"
01015,"Calhoun County, AL","$45,400"
01017,"Chambers County, AL","$39,917"
01019,"Cherokee County, AL","$42,132"
01021,"Chilton County, AL","$47,547"
01023,"Choctaw County, AL","$39,907"
01025,"Clarke County, AL","$40,741"
01027,"Clay County, AL","$39,201"
01029,"Cleburne County, AL","$46,495"
01031,"Coffee County, AL","$55,122"
01033,"Colbert County, AL","$49,055"
01035,"Conecuh County, AL","$32,613"
01037,"Coosa County, AL","$42,423"
01039,"Covington County, AL","$40,203"
01041,"Crenshaw County, AL","$39,057"
01043,"Cullman County, AL","$45,796"
01045,"Dale County, AL","$45,309"
01047,"Dallas County, AL","$34,035"
01049,"DeKalb County, AL","$39,491"
01051,"Elmore County, AL","$60,367"
01053,"Escambia County, AL","$38,418"
01055,"Etowah County, AL","$44,903"
01057,"Fayette County, AL","$39,254"
01059,"Franklin County, AL","$39,388"
01061,"Geneva County, AL","$37,823"
01063,"Greene County, AL","$28,524"
01065,"Hale County, AL","$34,724"
01067,"Henry County, AL","$46,027"
01069,"Houston County, AL","$47,993"
01071,"Jackson County, AL","$41,929"
01073,"Jefferson County, AL","$55,013"
01075,"Lamar County, AL","$40,936"
01077,"Lauderdale County, AL","$48,707"
01079,"Lawrence County, AL","$43,909"
01081,"Lee County, AL","$48,937"
01083,"Limestone County, AL","$64,863"
01085,"Lowndes County, AL","$33,973"
01087,"Macon County, AL","$32,495"
01089,"Madison County, AL","$63,755"
01091,"Marengo County, AL","$37,733"
01093,"Marion County, AL","$37,887"
01095,"Marshall County, AL","$46,233"
01097,"Mobile County, AL","$43,598"
01099,"Monroe County, AL","$39,556"
01101,"Montgomery County, AL","$49,640"
01103,"Morgan County, AL","$52,797"
01105,"Perry County, AL","$26,814"
01107,"Pickens County, AL","$37,586"
01109,"Pike County, AL","$37,259"
01111,"Randolph County, AL","$40,546"
01113,"Russell County, AL","$39,104"
01115,"St. Clair County, AL","$57,284"
01117,"Shelby County, AL","$75,663"
01119,"Sumter County, AL","$27,859"
01121,"Talladega County, AL","$41,630"
01123,"Tallapoosa County, AL","$42,205"
01125,"Tuscaloosa County, AL","$52,557"
01127,"Walker County, AL","$45,434"
01129,"Washington County, AL","$40,784"
01131,"Wilcox County, AL","$27,237"
01133,"Winston County, AL","$38,504"
02013,"Aleutians East Borough, AK","$70,081"
02016,"Aleutians West Census Area, AK","$82,633"
02020,"Anchorage Borough/municipality, AK","$82,113"
02050,"Bethel Census Area, AK","$44,304"
02060,"Bristol Bay Borough, AK","$77,257"
02068,"Denali Borough, AK","$75,477"
02070,"Dillingham Census Area, AK","$54,524"
02090,"Fairbanks North Star Borough, AK","$74,268"
02100,"Haines Borough, AK","$58,943"
02105,"Hoonah-Angoon Census Area, AK","$51,188"
02110,"Juneau Borough/city, AK","$79,173"
02122,"Kenai Peninsula Borough, AK","$65,439"
02130,"Ketchikan Gateway Borough, AK","$68,309"
02150,"Kodiak Island Borough, AK","$74,109"
02158,"Kusilvak Bourough, AK","$35,539"
02164,"Lake and Peninsula Borough, AK","$49,403"
