state,income,id
Alabama,49861,01
Alaska,74346,02
Arizona,59246,04
Arkansas,47062,05
California,75277,06
Colorado,71953,08
Connecticut,76348,09
Delaware,64805,10
Florida,55462,12
Georgia,58756,13
Hawaii,80212,15
Idaho,55583,16
Illinois,65030,17
Indiana,55746,18
Iowa,59955,19
Kansas,58218,20
Kentucky,50247,21
Louisiana,47905,22
Maine,55602,23
Maryland,83242,24
Massachusetts,79835,25
Michigan,56697,26
Minnesota,70315,27
Mississippi,44717,28
Missouri,54478,29
Montana,55328,30
Nebraska,59566,31
Nevada,58646,32
New Hampshire,74991,33
New Jersey,81740,34
New Mexico,47169,35
New York,67844,36
North Carolina,53855,37
North Dakota,63837,38
Ohio,56111,39
Oklahoma,51924,40
Oregon,63426,41
Pennsylvania,60905,42
Rhode Island,64340,44
South Carolina,52306,45
South Dakota,56274,46
Tennessee,52375,47
Texas,60629,48
Utah,71414,49
Vermont,60782,50
Virginia,72577,51
Washington,74073,53
West Virginia,44097,54
Wisconsin,60773,55
Wyoming,61584,56
